timestamp,vehicle_id,site_lat,site_lon,ambient_temp_c,relative_humidity,solar_radiation_wm2,wind_speed_ms,reefer_internal_temp,door_open_minutes,wbgt,cooling_load_mw,delivery_delay_min,worker_incident_flag,q10_recovery_temp,thermal_lag_hours
2026-06-01 00:00:00,V102,33.43483015056412,-111.9604220182852,32.75,29.8,330.7,5.27,1.65,8,28.36,-1.2,2.98,0,18.78,117.86
2026-06-01 01:00:00,V101,33.47636531133312,-111.90967323686898,31.79,30.4,856.6,2.14,5.54,4,28.31,-14.41,-3.42,0,14.19,76.71
2026-06-01 02:00:00,V102,33.58457500645543,-111.94293781917747,32.97,29.4,531.3,1.39,4.36,9,28.88,-4.59,4.18,0,21.34,127.29
2026-06-01 03:00:00,V101,33.375758334622624,-112.1647068035522,34.28,34.1,938.2,4.22,1.98,7,31.32,5.66,-3.81,0,18.24,183.43
2026-06-01 04:00:00,V101,33.40777522437487,-111.97808090037434,31.65,17.7,496.8,0.71,1.97,5,25.58,-0.67,2.19,0,13.65,70.71
2026-06-01 05:00:00,V103,33.41380757697672,-112.10409995026784,31.65,16.0,736.4,3.91,4.58,8,25.35,-4.63,0.79,0,19.49,70.71
2026-06-01 06:00:00,V101,33.48166144729346,-111.90347520317638,34.37,16.7,411.4,4.34,6.06,9,27.17,2.55,-0.22,0,22.86,187.29
2026-06-01 07:00:00,V102,33.407019615912,-112.05439230505203,36.26,28.3,472.9,1.68,2.35,9,31.57,-5.76,-2.8,0,22.47,268.29
2026-06-01 08:00:00,V102,33.46005357758991,-112.16326983049233,37.3,23.3,343.0,0.73,5.18,7,31.21,-3.98,-1.21,0,21.35,312.86
2026-06-01 09:00:00,V103,33.53453709895351,-111.9824443355918,41.3,33.7,460.3,2.5,3.19,5,38.11,6.4,-2.45,0,18.19,484.29
2026-06-01 10:00:00,V102,33.51161567823366,-112.10309664048414,41.7,44.8,610.4,1.04,5.23,10,42.29,-17.24,-1.51,1,28.28,501.43
2026-06-01 11:00:00,V102,33.433910593953776,-111.9008765528755,42.89,26.6,943.8,1.14,5.02,6,38.09,-9.77,-2.76,1,22.11,552.43
2026-06-01 12:00:00,V102,33.55926485330225,-111.90606526264364,44.36,32.2,698.2,1.9,4.23,10,41.38,-4.93,-0.12,1,29.6,615.43
2026-06-01 13:00:00,V101,33.46744207487816,-112.00315979459384,40.72,27.5,349.4,2.13,1.25,4,35.52,-0.65,-0.4,0,14.26,459.43
2026-06-01 14:00:00,V101,33.46197175185066,-112.1610520653145,39.8,40.4,233.7,3.41,5.02,7,38.11,-0.2,-5.13,0,22.53,420.0
2026-06-01 15:00:00,V102,33.310256329781744,-111.99394170069748,39.64,42.1,294.8,4.23,4.75,12,38.42,-4.89,-0.94,0,29.13,413.14
2026-06-01 16:00:00,V103,33.59600789410715,-112.172090854062,36.48,41.3,621.9,3.76,4.62,8,34.92,4.19,3.69,0,22.16,277.71
2026-06-01 17:00:00,V101,33.336891242558885,-112.19119075226928,35.58,44.2,773.9,1.32,4.29,7,34.87,-3.58,-5.17,0,20.04,239.14
2026-06-01 18:00:00,V103,33.36933927372829,-111.95311246613356,30.64,15.8,905.3,1.45,2.68,6,24.87,-5.25,-1.55,0,15.3,27.43
2026-06-01 19:00:00,V102,33.315509051172455,-112.1370741156949,29.88,40.2,211.9,5.33,5.62,12,27.46,-3.49,-0.59,0,22.57,0.0
2026-06-01 20:00:00,V102,33.492000890051074,-112.08629186213427,34.2,37.6,592.1,3.57,5.35,5,31.66,-4.49,-4.04,0,16.7,180.0
2026-06-01 21:00:00,V101,33.3674103530918,-111.90796278300716,31.66,21.9,553.2,5.28,2.39,6,26.18,-2.41,-2.96,0,15.6,71.14
2026-06-01 22:00:00,V102,33.35400313124182,-112.09894784944169,32.1,43.7,692.0,2.54,5.97,5,30.89,-1.49,-1.57,0,16.25,90.0
2026-06-01 23:00:00,V101,33.32656667526697,-112.111053065615,29.86,19.4,619.7,3.88,4.2,10,24.49,-1.38,-3.67,0,20.42,0.0
2026-06-02 00:00:00,V102,33.330992687137204,-111.92453760011315,31.18,35.4,715.3,3.38,4.19,10,28.46,-5.24,1.76,0,21.25,50.57
2026-06-02 01:00:00,V102,33.47540121013277,-112.16677546640432,32.17,21.7,693.6,2.26,3.74,5,26.84,2.29,-0.66,0,14.93,93.0
2026-06-02 02:00:00,V101,33.50646235975998,-111.9721252769656,30.27,27.9,287.8,3.08,3.88,11,25.95,-1.8,3.99,0,21.49,11.57
2026-06-02 03:00:00,V101,33.41921369653932,-111.90358033000416,32.56,36.6,799.8,3.26,6.06,8,30.07,3.73,3.62,0,20.65,109.71
